policy,workload,mean_net_speedup,mean_wasted_tokens
entropy,gsm8k,0.43194763531135455,11.317293691626084
entropy,humaneval,0.5980662016246004,8.402326439047211
entropy,mt_bench,0.39155703458185254,16.97966800533936
entropy,spec_bench,0.3000330723360927,21.867246376811593
epsilon_greedy,gsm8k,0.4965204753799877,0.538640377590673
epsilon_greedy,humaneval,0.5775032829566498,0.5460489907063732
epsilon_greedy,mt_bench,0.4365367243881291,0.8869686314111451
epsilon_greedy,spec_bench,0.4337461553916009,0.5803135440011206
history,gsm8k,0.4818558953418041,1.2661790657476808
history,humaneval,0.594688952027172,0.9800509644559698
history,mt_bench,0.42776906497691825,1.4212928977997363
history,spec_bench,0.5289258783038064,1.199403130201567
linucb,gsm8k,0.46882040756925597,0.43687875100850804
linucb,humaneval,0.41767022865795256,0.4590659284753689
linucb,mt_bench,0.4372758663737815,1.0195864287752043
linucb,spec_bench,0.2773876525003642,0.7166379112031285
linucb_explore,gsm8k,0.4864474240724642,0.586071718108427
linucb_explore,humaneval,0.34192464378775816,0.606574233361926
linucb_explore,mt_bench,0.43472101188074885,1.3207645303307824
linucb_explore,spec_bench,0.37602286353713466,0.5964709923731663
linucb_fine,gsm8k,0.5139736593030007,0.39348909968375606
linucb_fine,humaneval,0.5019199290589872,0.4675530282595999
linucb_fine,mt_bench,0.4565258183855324,0.571459652110093
linucb_fine,spec_bench,0.2952408312270895,0.7494698327359618
ucb,gsm8k,0.48049343732981925,0.6011927006215446
ucb,humaneval,0.5784799515256569,0.9593524303575219
ucb,mt_bench,0.4320113664302016,1.848288870729225
ucb,spec_bench,0.4537717705672412,0.9923835517500309
ucb_coarse,gsm8k,0.4852736431159217,0.36436172734179684
ucb_coarse,humaneval,0.5835672427298066,0.7259820024011179
ucb_coarse,mt_bench,0.42483628549045516,1.012270640804914
ucb_coarse,spec_bench,0.46128190500845756,0.6033722182472456
